id,bsf_scheme_id,bsf_business_type_id
1901,300,2
1902,300,3
1903,300,4
1904,317,6
1905,317,1
1906,317,2
1907,317,3
1908,317,4
1909,314,1
1910,314,2
1911,314,3
1912,315,1
1913,315,2
1914,315,3
1915,313,1
1916,313,2
1917,313,3
1918,301,4
1919,307,1
1920,307,2
1921,307,3
1922,322,1
1923,322,2
1924,322,3
1925,322,4
1926,322,5
1927,310,5
1928,312,4
1929,309,1
1930,309,2
1931,309,3
1932,304,6
1933,319,4
1934,320,1
1935,320,2
1936,320,3
1937,320,4
1938,316,4
1939,302,1
1940,302,2
1941,302,3
1942,302,4
1943,323,1
1944,321,1
1945,321,2
1946,321,3
1947,321,4
1948,299,3
1949,299,4
1950,311,5
1951,303,1
1952,303,2
1953,303,3
1954,318,1
1955,318,2
1956,318,3
1957,306,1
1958,306,2
1959,306,3
1960,308,1
1961,308,2
1962,308,3
1963,308,4
1964,300,6
1965,300,1
1966,300,2
1967,300,3
1968,300,4
1969,317,6
1970,317,1
1971,317,2
1972,317,3
1973,317,4
1974,314,1
1975,314,2
1976,314,3
1977,315,1
1978,315,2
1979,315,3
1980,313,1
1981,313,2
1982,313,3
1983,301,4
1984,307,1
1985,307,2
1986,307,3
1987,322,1
1988,322,2
1989,322,3
1990,322,4
1991,322,5
1992,310,5
1993,312,4
1994,309,1
1995,309,2
1996,309,3
1997,304,6
1998,319,4
1999,332,1
2000,332,3
2001,332,4
2002,333,6
2003,333,1
2004,333,2
2005,333,3
2006,333,4
2007,334,6
2008,334,1
2009,334,3
2010,328,1
2011,328,2
2012,328,3
2013,328,4
2014,328,5
2015,323,2
2016,323,3
2017,339,6
2018,339,1
2019,339,2
2020,339,3
2021,337,6
2022,337,1
2023,337,2
2024,337,3
2025,338,6
2026,338,1
2027,338,2
2028,338,3
2029,336,6
2030,330,1
2031,330,2
2032,330,3
2033,330,4
2034,330,5
2035,329,1
2036,329,2
2037,329,3
2038,329,4
2039,329,5
2040,342,1
2041,342,2
2042,342,3
2043,342,4
2044,324,1
2045,324,2
2046,324,3
2047,324,4
2048,326,1
2049,326,2
2050,326,3
2051,346,6
2052,346,4
2053,331,1
2054,331,2
2055,331,3
2056,331,5
2057,343,1
2058,343,2
2059,343,3
2060,343,4
2061,345,6
2062,345,1
2063,345,2
2064,345,3
2065,345,4
2066,344,6
2067,344,1
2068,344,2
2069,344,3
2070,344,4
2071,335,6
2072,335,1
2073,335,2
2074,335,3
2075,335,4
2076,341,6
2077,341,1
2078,341,2
2079,341,3
2080,341,4
2081,332,1
2082,332,3
2083,332,4
2084,333,6
2085,333,1
2086,333,2
2087,333,3
2088,333,4
2089,334,6
2090,334,1
2091,334,3
2092,328,1
2093,328,2
2094,328,3
2095,328,4
2096,328,5
2097,323,2
2098,323,3
2099,339,6
2100,339,1
2101,339,2
2102,339,3
2103,337,6
2104,337,1
2105,337,2
2106,337,3
2107,338,6
2108,338,1
2109,338,2
2110,338,3
2111,336,6
2112,330,1
2113,330,2
2114,330,3
2115,330,4
2116,330,5
2117,329,1
2118,329,2
2119,329,3
2120,329,4
2121,329,5
2122,342,1
2123,342,2
